order_id,customer_id,product_id,ship_mode_id,order_date,ship_date,sales,quantity,discount,profit
CA-2017-117590,GH-14485,TEC-PH-10004977,3,12/8/2017,12/10/2017,1097.544,7.0,0.2,123.4737
CA-2017-117590,GH-14485,FUR-FU-10003664,3,12/8/2017,12/10/2017,190.92,5.0,0.6,-147.963
CA-2016-117415,SN-20710,OFF-EN-10002986,2,12/27/2016,12/31/2016,113.328,9.0,0.2,35.415
CA-2016-117415,SN-20710,FUR-BO-10002545,2,12/27/2016,12/31/2016,532.3992,3.0,0.32,-46.9764
CA-2016-117415,SN-20710,FUR-CH-10004218,2,12/27/2016,12/31/2016,212.058,3.0,0.3,-15.147
CA-2016-117415,SN-20710,TEC-PH-10000486,2,12/27/2016,12/31/2016,371.168,4.0,0.2,41.7564
CA-2018-120999,LC-16930,TEC-PH-10004093,2,9/10/2018,9/15/2018,147.168,4.0,0.2,16.5564
CA-2017-101343,RA-19885,OFF-ST-10003479,2,7/17/2017,7/22/2017,77.88,2.0,0.0,3.894
CA-2018-139619,ES-14080,OFF-ST-10003282,2,9/19/2018,9/23/2018,95.616,2.0,0.2,9.5616
CA-2017-118255,ON-18715,TEC-AC-10000171,3,3/11/2017,3/13/2017,45.98,2.0,0.0,19.7714
CA-2017-118255,ON-18715,OFF-BI-10003291,3,3/11/2017,3/13/2017,17.46,2.0,0.0,8.2062
CA-2015-146703,PO-18865,OFF-ST-10001713,1,10/20/2015,10/25/2015,211.96,4.0,0.0,8.4784
CA-2017-169194,LH-16900,TEC-AC-10002167,2,6/20/2017,6/25/2017,45.0,3.0,0.0,4.95
CA-2017-169194,LH-16900,TEC-PH-10003988,2,6/20/2017,6/25/2017,21.8,2.0,0.0,6.104
CA-2016-115742,DP-13000,OFF-BI-10004410,2,4/18/2016,4/22/2016,38.22,6.0,0.0,17.9634
CA-2016-115742,DP-13000,OFF-LA-10002762,2,4/18/2016,4/22/2016,75.18,6.0,0.0,35.3346
CA-2016-115742,DP-13000,FUR-FU-10001706,2,4/18/2016,4/22/2016,6.16,2.0,0.0,2.9568
CA-2016-115742,DP-13000,FUR-CH-10003061,2,4/18/2016,4/22/2016,89.99,1.0,0.0,17.0981
CA-2017-105816,JM-15265,OFF-FA-10000304,2,12/11/2017,12/17/2017,15.26,7.0,0.0,6.2566
CA-2017-105816,JM-15265,TEC-PH-10002447,2,12/11/2017,12/17/2017,1029.95,5.0,0.0,298.6855
CA-2017-111682,TB-21055,OFF-ST-10000604,3,6/17/2017,6/18/2017,208.56,6.0,0.0,52.14
CA-2017-111682,TB-21055,OFF-PA-10001569,3,6/17/2017,6/18/2017,32.4,5.0,0.0,15.552
CA-2017-111682,TB-21055,FUR-CH-10003968,3,6/17/2017,6/18/2017,319.41,5.0,0.1,7.098
CA-2017-111682,TB-21055,OFF-PA-10000587,3,6/17/2017,6/18/2017,14.56,2.0,0.0,6.9888
CA-2017-111682,TB-21055,TEC-AC-10002167,3,6/17/2017,6/18/2017,30.0,2.0,0.0,3.3
CA-2017-111682,TB-21055,OFF-BI-10001460,3,6/17/2017,6/18/2017,48.48,4.0,0.2,16.362
CA-2017-111682,TB-21055,OFF-AR-10001868,3,6/17/2017,6/18/2017,1.68,1.0,0.0,0.84
CA-2016-135545,KM-16720,TEC-AC-10004633,2,11/24/2016,11/30/2016,13.98,2.0,0.0,6.1512
CA-2016-135545,KM-16720,OFF-BI-10001078,2,11/24/2016,11/30/2016,25.824,6.0,0.2,9.3612
CA-2016-135545,KM-16720,OFF-PA-10003892,2,11/24/2016,11/30/2016,146.73,3.0,0.0,68.9631
CA-2016-135545,KM-16720,FUR-FU-10000397,2,11/24/2016,11/30/2016,79.76,4.0,0.0,22.3328
US-2016-164175,PS-18970,FUR-CH-10001146,2,4/30/2016,5/5/2016,213.115,5.0,0.3,-15.2225
CA-2015-106376,BS-11590,OFF-AR-10002671,2,12/5/2015,12/10/2015,1113.024,8.0,0.2,111.3024
CA-2015-106376,BS-11590,TEC-PH-10002726,2,12/5/2015,12/10/2015,167.968,4.0,0.2,62.988
CA-2017-119823,KD-16270,OFF-PA-10000482,3,6/4/2017,6/6/2017,75.88,2.0,0.0,35.6636
CA-2017-106075,HM-14980,OFF-BI-10004654,2,9/18/2017,9/23/2017,4.616,1.0,0.2,1.731
CA-2018-114440,TB-21520,OFF-PA-10004675,1,9/14/2018,9/17/2018,19.05,3.0,0.0,8.763
US-2016-134026,JE-15745,FUR-CH-10000513,2,4/26/2016,5/2/2016,831.936,8.0,0.2,-114.3912
US-2016-134026,JE-15745,FUR-FU-10003708,2,4/26/2016,5/2/2016,97.04,2.0,0.2,1.213
US-2016-134026,JE-15745,OFF-ST-10004123,2,4/26/2016,5/2/2016,72.784,1.0,0.2,-18.196
US-2018-118038,KB-16600,OFF-BI-10004182,3,12/9/2018,12/11/2018,1.248,3.0,0.8,-1.9344
US-2018-118038,KB-16600,FUR-FU-10000260,3,12/9/2018,12/11/2018,9.708,3.0,0.6,-5.8248
US-2018-118038,KB-16600,OFF-ST-10000615,3,12/9/2018,12/11/2018,27.24,3.0,0.2,2.724
US-2015-147606,JE-15745,FUR-FU-10003194,1,11/26/2015,12/1/2015,19.3,5.0,0.6,-14.475
CA-2017-127208,SC-20770,OFF-AP-10002118,3,6/12/2017,6/15/2017,208.16,1.0,0.0,56.2032
CA-2017-127208,SC-20770,OFF-BI-10002309,3,6/12/2017,6/15/2017,16.74,3.0,0.0,8.0352
CA-2015-139451,DN-13690,OFF-AR-10002053,2,10/12/2015,10/16/2015,14.9,5.0,0.0,4.172
CA-2015-139451,DN-13690,OFF-ST-10002370,2,10/12/2015,10/16/2015,21.39,1.0,0.0,6.2031
CA-2016-149734,JC-16105,OFF-EN-10000927,2,9/3/2016,9/8/2016,200.984,7.0,0.2,62.8075
US-2018-119662,CS-12400,OFF-ST-10003656,3,11/13/2018,11/16/2018,230.376,3.0,0.2,-48.9549
CA-2018-140088,PO-18865,FUR-CH-10000863,1,5/28/2018,5/30/2018,301.96,2.0,0.0,33.2156
CA-2018-155558,PG-18895,TEC-AC-10001998,2,10/26/2018,11/2/2018,19.99,1.0,0.0,6.7966
CA-2018-155558,PG-18895,OFF-LA-10000134,2,10/26/2018,11/2/2018,6.16,2.0,0.0,2.9568
CA-2017-159695,GM-14455,OFF-ST-10003442,1,4/5/2017,4/10/2017,158.368,7.0,0.2,13.8572
CA-2017-109806,JS-15685,OFF-AR-10004930,2,9/17/2017,9/22/2017,20.1,3.0,0.0,6.633
CA-2017-109806,JS-15685,TEC-PH-10004093,2,9/17/2017,9/22/2017,73.584,2.0,0.2,8.2782
CA-2017-109806,JS-15685,OFF-PA-10000304,2,9/17/2017,9/22/2017,6.48,1.0,0.0,3.1104
CA-2016-149587,KB-16315,OFF-PA-10003177,1,1/31/2016,2/5/2016,12.96,2.0,0.0,6.2208
CA-2016-149587,KB-16315,FUR-FU-10003799,1,1/31/2016,2/5/2016,53.34,3.0,0.0,16.5354
CA-2016-149587,KB-16315,OFF-BI-10002852,1,1/31/2016,2/5/2016,32.96,2.0,0.0,16.1504
US-2018-109484,RB-19705,OFF-BI-10004738,2,11/6/2018,11/12/2018,5.682,1.0,0.7,-3.788
CA-2018-161018,PN-18775,FUR-FU-10000629,1,11/9/2018,11/11/2018,96.53,7.0,0.0,40.5426
CA-2018-157833,KD-16345,OFF-BI-10001721,3,6/17/2018,6/20/2018,51.312,3.0,0.2,17.9592
CA-2017-149223,ER-13855,OFF-AP-10000358,2,9/6/2017,9/11/2017,77.88,6.0,0.0,22.5852
CA-2017-158568,RB-19465,OFF-PA-10003256,2,8/29/2017,9/2/2017,64.624,7.0,0.2,22.6184
CA-2017-158568,RB-19465,TEC-AC-10001767,2,8/29/2017,9/2/2017,95.976,3.0,0.2,-10.7973
CA-2017-158568,RB-19465,OFF-BI-10002609,2,8/29/2017,9/2/2017,1.788,3.0,0.8,-3.0396
CA-2017-129903,GZ-14470,OFF-PA-10004040,1,12/1/2017,12/4/2017,23.92,4.0,0.0,11.7208
US-2016-156867,LC-16870,TEC-AC-10001552,2,11/13/2016,11/17/2016,238.896,6.0,0.2,-26.8758
US-2016-156867,LC-16870,FUR-FU-10004006,2,11/13/2016,11/17/2016,102.36,3.0,0.2,-3.8385
US-2016-156867,LC-16870,OFF-BI-10002794,2,11/13/2016,11/17/2016,36.882,3.0,0.7,-25.8174
CA-2018-119004,JM-15250,TEC-AC-10003499,2,11/23/2018,11/28/2018,74.112,8.0,0.2,17.6016
CA-2018-119004,JM-15250,TEC-PH-10002844,2,11/23/2018,11/28/2018,27.992,1.0,0.2,2.0994
CA-2018-119004,JM-15250,OFF-AR-10000390,2,11/23/2018,11/28/2018,3.304,1.0,0.2,1.0738
CA-2016-129476,PA-19060,TEC-AC-10000844,2,10/15/2016,10/20/2016,339.96,5.0,0.2,67.992
CA-2018-146780,CV-12805,FUR-FU-10001934,2,12/25/2018,12/30/2018,41.96,2.0,0.0,10.9096
CA-2017-128867,CL-12565,OFF-AR-10000380,2,11/3/2017,11/10/2017,75.96,2.0,0.0,22.788
CA-2017-128867,CL-12565,OFF-BI-10003981,2,11/3/2017,11/10/2017,27.24,6.0,0.0,13.3476
CA-2015-115259,RC-19960,OFF-FA-10000621,1,8/25/2015,8/27/2015,40.096,14.0,0.2,14.5348
CA-2015-115259,RC-19960,OFF-EN-10002600,1,8/25/2015,8/27/2015,4.72,2.0,0.2,1.652
CA-2015-115259,RC-19960,OFF-PA-10004965,1,8/25/2015,8/27/2015,23.976,3.0,0.2,7.4925
CA-2015-115259,RC-19960,OFF-EN-10002504,1,8/25/2015,8/27/2015,130.464,6.0,0.2,44.0316
CA-2016-110457,DK-13090,FUR-TA-10001768,2,3/2/2016,3/6/2016,787.53,3.0,0.0,165.3813
US-2016-136476,GG-14650,OFF-BI-10003650,2,4/5/2016,4/10/2016,157.794,1.0,0.7,-115.7156
CA-2017-103730,SC-20725,FUR-FU-10002157,3,6/12/2017,6/15/2017,47.04,3.0,0.0,18.3456
CA-2017-103730,SC-20725,OFF-BI-10003910,3,6/12/2017,6/15/2017,30.84,4.0,0.0,13.878
CA-2017-103730,SC-20725,OFF-ST-10000777,3,6/12/2017,6/15/2017,226.56,6.0,0.0,63.4368
CA-2017-103730,SC-20725,OFF-EN-10002500,3,6/12/2017,6/15/2017,115.02,9.0,0.0,51.759
CA-2017-103730,SC-20725,TEC-PH-10003875,3,6/12/2017,6/15/2017,68.04,7.0,0.0,19.7316
US-2015-152030,AD-10180,FUR-CH-10004063,1,12/26/2015,12/28/2015,600.558,3.0,0.3,-8.5794
US-2015-134614,PF-19165,FUR-TA-10004534,2,9/20/2015,9/25/2015,617.7,6.0,0.5,-407.682
US-2018-107272,TS-21610,OFF-BI-10003274,2,11/5/2018,11/12/2018,2.388,2.0,0.7,-1.8308
US-2018-107272,TS-21610,OFF-ST-10002974,2,11/5/2018,11/12/2018,243.992,7.0,0.2,30.499
US-2017-125969,LS-16975,FUR-CH-10001146,1,11/6/2017,11/10/2017,81.424,2.0,0.2,-9.1602
US-2017-125969,LS-16975,FUR-FU-10003773,1,11/6/2017,11/10/2017,238.56,3.0,0.0,26.2416
US-2018-164147,DW-13585,TEC-PH-10002293,3,2/2/2018,2/5/2018,59.97,5.0,0.4,-11.994
US-2018-164147,DW-13585,OFF-PA-10002377,3,2/2/2018,2/5/2018,78.304,2.0,0.2,29.364
US-2018-164147,DW-13585,OFF-FA-10002780,3,2/2/2018,2/5/2018,21.456,9.0,0.2,6.9732
CA-2017-145583,LC-16885,OFF-PA-10001804,2,10/13/2017,10/19/2017,20.04,3.0,0.0,9.6192
CA-2017-145583,LC-16885,OFF-PA-10001736,2,10/13/2017,10/19/2017,35.44,1.0,0.0,16.6568
CA-2017-145583,LC-16885,OFF-AR-10001149,2,10/13/2017,10/19/2017,11.52,4.0,0.0,3.456
CA-2017-145583,LC-16885,OFF-FA-10002988,2,10/13/2017,10/19/2017,4.02,2.0,0.0,1.9698
CA-2017-145583,LC-16885,OFF-BI-10004781,2,10/13/2017,10/19/2017,76.176,3.0,0.2,26.6616
CA-2017-145583,LC-16885,OFF-SU-10001218,2,10/13/2017,10/19/2017,65.88,6.0,0.0,18.4464
CA-2017-145583,LC-16885,FUR-FU-10001706,2,10/13/2017,10/19/2017,43.12,14.0,0.0,20.6976
CA-2017-110366,JD-15895,FUR-FU-10004848,1,9/5/2017,9/7/2017,82.8,2.0,0.2,10.35
CA-2018-106180,SH-19975,OFF-AR-10000940,2,9/18/2018,9/23/2018,8.82,3.0,0.0,2.3814
CA-2018-106180,SH-19975,OFF-EN-10004030,2,9/18/2018,9/23/2018,10.86,3.0,0.0,5.1042
CA-2018-106180,SH-19975,OFF-PA-10004327,2,9/18/2018,9/23/2018,143.7,3.0,0.0,68.976
CA-2018-155376,SG-20080,OFF-AP-10001058,2,12/22/2018,12/27/2018,839.43,3.0,0.0,218.2518
CA-2016-110744,HA-14920,OFF-ST-10003656,2,9/7/2016,9/12/2016,671.93,7.0,0.0,20.1579
CA-2015-110072,MG-17680,FUR-FU-10000521,2,10/22/2015,10/28/2015,93.888,4.0,0.2,12.9096
CA-2017-114489,JE-16165,TEC-PH-10000215,2,12/5/2017,12/9/2017,384.45,11.0,0.0,103.8015
CA-2017-114489,JE-16165,TEC-PH-10001448,2,12/5/2017,12/9/2017,149.97,3.0,0.0,5.9988
CA-2017-114489,JE-16165,FUR-CH-10000454,2,12/5/2017,12/9/2017,1951.84,8.0,0.0,585.552
CA-2017-114489,JE-16165,OFF-BI-10002735,2,12/5/2017,12/9/2017,171.55,5.0,0.0,80.6285
CA-2017-158834,TW-21025,OFF-AP-10000326,3,3/13/2017,3/16/2017,157.92,5.0,0.2,17.766
CA-2017-158834,TW-21025,TEC-PH-10001254,3,3/13/2017,3/16/2017,203.184,2.0,0.2,15.2388
CA-2016-124919,SP-20650,OFF-PA-10001950,3,5/31/2016,6/2/2016,58.38,7.0,0.0,26.271
CA-2016-124919,SP-20650,OFF-PA-10002254,3,5/31/2016,6/2/2016,105.52,4.0,0.0,48.5392
CA-2016-124919,SP-20650,OFF-ST-10001590,3,5/31/2016,6/2/2016,80.88,6.0,0.0,21.0288
CA-2016-118948,NK-18490,OFF-AR-10001547,2,5/28/2016,6/3/2016,6.63,3.0,0.0,1.7901
CA-2015-104269,DB-13060,FUR-CH-10004063,1,3/1/2015,3/6/2015,457.568,2.0,0.2,51.4764
CA-2017-114104,NP-18670,OFF-LA-10002475,2,11/20/2017,11/24/2017,14.62,2.0,0.0,6.8714
CA-2017-114104,NP-18670,TEC-PH-10004536,2,11/20/2017,11/24/2017,944.93,7.0,0.0,236.2325
CA-2017-162733,TT-21070,OFF-PA-10002751,3,5/11/2017,5/12/2017,5.98,1.0,0.0,2.691
CA-2016-119697,EM-13960,TEC-AC-10003657,1,12/28/2016,12/31/2016,54.384,2.0,0.2,1.3596
CA-2017-154508,RD-19900,OFF-EN-10001990,2,11/16/2017,11/20/2017,28.4,5.0,0.0,13.348
CA-2017-113817,MJ-17740,OFF-BI-10004002,2,11/7/2017,11/11/2017,27.68,2.0,0.2,9.688
CA-2015-139892,BM-11140,OFF-AR-10004441,2,9/8/2015,9/12/2015,9.936,3.0,0.2,2.7324
CA-2015-139892,BM-11140,TEC-MA-10000822,2,9/8/2015,9/12/2015,8159.952,8.0,0.4,-1359.992
CA-2015-139892,BM-11140,OFF-ST-10000991,2,9/8/2015,9/12/2015,275.928,3.0,0.2,-58.6347
CA-2015-139892,BM-11140,FUR-CH-10004287,2,9/8/2015,9/12/2015,1740.06,9.0,0.3,-24.858
CA-2015-139892,BM-11140,OFF-AR-10002656,2,9/8/2015,9/12/2015,32.064,6.0,0.2,6.8136
CA-2015-139892,BM-11140,OFF-AP-10002518,2,9/8/2015,9/12/2015,177.98,5.0,0.8,-453.849
CA-2015-139892,BM-11140,TEC-PH-10003931,2,9/8/2015,9/12/2015,143.976,3.0,0.2,8.9985
CA-2015-118962,CS-12130,OFF-PA-10000659,2,8/5/2015,8/9/2015,20.94,3.0,0.0,9.8418
CA-2015-118962,CS-12130,OFF-PA-10001144,2,8/5/2015,8/9/2015,110.96,2.0,0.0,53.2608
CA-2015-118962,CS-12130,FUR-CH-10003817,2,8/5/2015,8/9/2015,340.144,7.0,0.2,21.259
US-2015-100853,JB-15400,OFF-AP-10000891,2,9/14/2015,9/19/2015,52.448,2.0,0.8,-131.12
US-2015-100853,JB-15400,OFF-LA-10003148,2,9/14/2015,9/19/2015,20.16,4.0,0.2,6.552
US-2018-152366,SJ-20500,OFF-AP-10002684,1,4/21/2018,4/25/2018,97.264,4.0,0.8,-243.16
US-2016-101511,JE-15745,FUR-CH-10004698,1,11/21/2016,11/23/2016,396.802,7.0,0.3,-11.3372
US-2016-101511,JE-15745,OFF-SU-10002189,1,11/21/2016,11/23/2016,15.88,5.0,0.2,-3.7715
CA-2016-137225,JK-15640,OFF-AR-10001940,2,12/15/2016,12/19/2016,3.28,1.0,0.0,1.4104
CA-2015-166191,DK-13150,OFF-ST-10003455,1,12/5/2015,12/9/2015,24.816,2.0,0.2,1.8612
CA-2015-166191,DK-13150,TEC-AC-10004659,1,12/5/2015,12/9/2015,408.744,7.0,0.2,76.6395
CA-2015-158274,RM-19675,TEC-PH-10003273,1,11/19/2015,11/24/2015,503.96,4.0,0.0,131.0296
CA-2015-158274,RM-19675,TEC-PH-10004896,1,11/19/2015,11/24/2015,149.95,5.0,0.0,41.986
CA-2015-158274,RM-19675,TEC-AC-10002345,1,11/19/2015,11/24/2015,29.0,2.0,0.0,7.25
CA-2017-105018,SK-19990,OFF-BI-10001890,2,11/28/2017,12/2/2017,7.16,2.0,0.0,3.4368
CA-2015-123260,FM-14290,TEC-AC-10002323,2,8/26/2015,8/30/2015,176.8,8.0,0.0,22.984
CA-2017-157000,AM-10360,OFF-ST-10001328,2,7/16/2017,7/22/2017,37.224,3.0,0.2,3.7224
CA-2017-157000,AM-10360,OFF-PA-10001950,2,7/16/2017,7/22/2017,20.016,3.0,0.2,6.255
CA-2016-102281,MP-17470,FUR-BO-10002613,3,10/12/2016,10/14/2016,899.136,4.0,0.2,112.392
CA-2016-102281,MP-17470,TEC-PH-10001552,3,10/12/2016,10/14/2016,71.76,6.0,0.0,20.0928
CA-2016-102281,MP-17470,OFF-PA-10000061,3,10/12/2016,10/14/2016,51.84,8.0,0.0,24.8832
CA-2016-102281,MP-17470,FUR-BO-10002545,3,10/12/2016,10/14/2016,626.352,3.0,0.2,46.9764
CA-2016-102281,MP-17470,OFF-AR-10003514,3,10/12/2016,10/14/2016,19.9,5.0,0.0,6.567
CA-2016-131457,MZ-17515,OFF-EN-10001509,2,10/31/2016,11/6/2016,14.28,7.0,0.0,6.7116
CA-2015-140004,CB-12025,OFF-AR-10004685,2,3/21/2015,3/25/2015,7.408,2.0,0.2,1.2038
CA-2015-140004,CB-12025,OFF-AR-10004027,2,3/21/2015,3/25/2015,6.048,3.0,0.2,1.5876
CA-2018-107720,VM-21685,OFF-ST-10001414,2,11/6/2018,11/13/2018,46.26,3.0,0.0,12.0276
US-2018-124303,FH-14365,OFF-BI-10000343,2,7/6/2018,7/13/2018,2.946,2.0,0.7,-2.2586
US-2018-124303,FH-14365,OFF-PA-10002749,2,7/6/2018,7/13/2018,16.056,3.0,0.2,5.8203
CA-2018-105074,MB-17305,OFF-PA-10002666,2,6/24/2018,6/29/2018,21.744,3.0,0.2,6.795
CA-2015-133690,BS-11755,FUR-TA-10004289,3,8/3/2015,8/5/2015,218.75,2.0,0.5,-161.875
CA-2015-133690,BS-11755,OFF-AP-10003622,3,8/3/2015,8/5/2015,2.6,1.0,0.2,0.2925
US-2018-116701,LC-17140,OFF-AP-10003217,1,12/17/2018,12/21/2018,66.284,2.0,0.8,-178.9668
CA-2018-126382,HK-14890,FUR-FU-10002960,2,6/3/2018,6/7/2018,35.168,7.0,0.2,9.6712
CA-2018-108329,LE-16810,TEC-PH-10001918,2,12/9/2018,12/14/2018,444.768,4.0,0.2,44.4768
CA-2018-135860,JH-15985,OFF-ST-10000642,2,12/1/2018,12/7/2018,83.92,4.0,0.0,5.8744
CA-2018-135860,JH-15985,TEC-PH-10001700,2,12/1/2018,12/7/2018,131.98,2.0,0.0,35.6346
CA-2018-135860,JH-15985,OFF-BI-10003274,2,12/1/2018,12/7/2018,15.92,4.0,0.0,7.4824
CA-2018-135860,JH-15985,OFF-FA-10000134,2,12/1/2018,12/7/2018,52.29,9.0,0.0,16.2099
CA-2018-135860,JH-15985,OFF-ST-10001522,2,12/1/2018,12/7/2018,91.99,1.0,0.0,3.6796
CA-2016-101007,MS-17980,TEC-AC-10001266,1,2/9/2016,2/13/2016,20.8,2.0,0.2,6.5
CA-2016-146262,VW-21775,OFF-LA-10004544,2,1/2/2016,1/9/2016,23.68,2.0,0.2,8.88
CA-2016-146262,VW-21775,FUR-BO-10004695,2,1/2/2016,1/9/2016,452.45,5.0,0.5,-244.323
CA-2016-146262,VW-21775,TEC-PH-10002844,2,1/2/2016,1/9/2016,62.982,3.0,0.4,-14.6958
CA-2016-146262,VW-21775,TEC-MA-10000864,2,1/2/2016,1/9/2016,1188.0,9.0,0.7,-950.4
CA-2016-146262,VW-21775,TEC-AC-10000109,2,1/2/2016,1/9/2016,89.584,2.0,0.2,4.4792
CA-2017-130162,JH-15910,OFF-ST-10001328,2,10/28/2017,11/1/2017,93.06,6.0,0.0,26.0568
CA-2017-130162,JH-15910,TEC-PH-10002563,2,10/28/2017,11/1/2017,302.376,3.0,0.2,22.6782
CA-2016-169397,JB-15925,OFF-FA-10000585,3,12/24/2016,12/27/2016,5.584,2.0,0.2,1.8148
CA-2016-169397,JB-15925,OFF-PA-10004000,3,12/24/2016,12/27/2016,22.704,6.0,0.2,8.2302
CA-2016-169397,JB-15925,OFF-BI-10002852,3,12/24/2016,12/27/2016,19.776,4.0,0.7,-13.8432
CA-2016-169397,JB-15925,FUR-FU-10000087,3,12/24/2016,12/27/2016,72.704,4.0,0.2,19.0848
CA-2016-169397,JB-15925,TEC-MA-10001148,3,12/24/2016,12/27/2016,479.988,4.0,0.7,-383.9904
CA-2016-169397,JB-15925,OFF-AR-10001958,3,12/24/2016,12/27/2016,27.168,2.0,0.2,2.7168
CA-2016-163055,DS-13180,OFF-AR-10001026,2,8/9/2016,8/16/2016,2.2,1.0,0.0,0.968
CA-2016-163055,DS-13180,FUR-TA-10003748,2,8/9/2016,8/16/2016,622.45,5.0,0.0,136.939
CA-2016-163055,DS-13180,OFF-ST-10002485,2,8/9/2016,8/16/2016,21.98,1.0,0.0,0.2198
US-2016-145436,VD-21670,FUR-CH-10004860,2,2/28/2016,3/4/2016,161.568,2.0,0.2,-28.2744
US-2016-145436,VD-21670,FUR-CH-10004477,2,2/28/2016,3/4/2016,389.696,8.0,0.2,43.8408
US-2015-156216,EA-14035,OFF-BI-10001679,2,9/13/2015,9/17/2015,18.648,7.0,0.7,-12.432
US-2018-100930,CS-12400,FUR-TA-10001705,2,4/7/2018,4/12/2018,233.86,2.0,0.45,-102.048
US-2018-100930,CS-12400,FUR-TA-10003473,2,4/7/2018,4/12/2018,620.6145,3.0,0.45,-248.2458
US-2018-100930,CS-12400,OFF-BI-10001679,2,4/7/2018,4/12/2018,5.328,2.0,0.7,-3.552
US-2018-100930,CS-12400,FUR-FU-10004017,2,4/7/2018,4/12/2018,258.072,3.0,0.2,0.0
US-2018-100930,CS-12400,TEC-AC-10003832,2,4/7/2018,4/12/2018,617.976,3.0,0.2,-7.7247
